"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"10078","SUN MICROSYSTEMS INC","SUNW","Aug. 20, 1992","Jan. 28, 2010"
"10104","ORACLE CORP","ORCL","Aug. 3, 1989","Dec. 31, 2024"
"10107","MICROSOFT CORP","MSFT","June 7, 1994","Dec. 31, 2024"
"10108","SUNGARD DATA SYSTEMS INC","SDS","July 22, 2002","Aug. 11, 2005"
"10137","ALLEGHENY ENERGY INC","AYE","Dec. 11, 2000","Feb. 25, 2011"
"10138","T ROWE PRICE GROUP INC","TROW","Oct. 13, 1999","Dec. 31, 2024"
"10145","HONEYWELL INTERNATIONAL INC","HON","Dec. 31, 1925","Dec. 31, 2024"
"10147","E M C CORP MA","EMC","March 28, 1996","Sept. 7, 2016"
"10225","FORTUNE BRANDS INC","FO","Dec. 31, 1925","April 30, 2014"
"10299","LINEAR TECHNOLOGY CORP","LLTC","April 3, 2000","March 10, 2017"
"10324","GENZYME CORP","GENZ","Dec. 14, 2001","April 1, 2011"
"10401","A T & T CORP","T","March 1, 1957","Nov. 18, 2005"
"10516","ARCHER DANIELS MIDLAND CO","ADM","July 30, 1981","Dec. 31, 2024"
"10562","SOVEREIGN BANCORP INC","SOV","July 1, 2004","Jan. 29, 2009"
"10696","FISERV INC","FISV","April 2, 2001","Dec. 31, 2024"
"10874","BRUNSWICK CORP","BC","March 1, 1973","June 20, 2008"
"10890","UNISYS CORP","UIS","April 20, 1954","Nov. 10, 2008"
"10942","COMVERSE TECHNOLOGY INC","CMVT","Oct. 27, 1999","Jan. 31, 2007"
"11081","DELL INC","DELL","Sept. 6, 1996","Oct. 28, 2013"
"11308","COCA COLA CO","KO","March 1, 1957","Dec. 31, 2024"
"11404","CONSOLIDATED EDISON INC","ED","Dec. 31, 1925","Dec. 31, 2024"
"11607","DANA CORP","DCN","March 1, 1957","March 2, 2006"
"11674","D T E ENERGY CO","DTE","Dec. 31, 1925","Dec. 31, 2024"
"11703","DU PONT E I DE NEMOURS & CO","DD","March 1, 1957","Aug. 31, 2017"
"11754","EASTMAN KODAK CO","EK","Dec. 31, 1925","Dec. 17, 2010"
"11762","EATON CORP","ETN","March 1, 1957","Dec. 31, 2024"
"11850","EXXON MOBIL CORP","XOM","Dec. 31, 1925","Dec. 31, 2024"
"11896","MAXIM INTEGRATED PRODUCTS INC","MXIM","May 10, 2000","Sept. 26, 2007"
"11955","WASTE MANAGEMENT INC DEL","WMI","July 17, 1998","Dec. 31, 2024"
"11970","AMERICAN POWER CONVERSION CORP","APCC","June 1, 2000","Feb. 14, 2007"
"11976","B M C SOFTWARE INC","BMC","Oct. 1, 1998","Sept. 10, 2013"
"12052","GENERAL DYNAMICS CORP","GD","March 1, 1957","Dec. 31, 2024"
"12060","GENERAL ELECTRIC CO","GE","March 1, 1957","Dec. 31, 2024"
"12062","LABORATORY CORP AMERICA HLDGS","LH","Nov. 1, 2004","Dec. 31, 2024"
"12067","NOVELLUS SYSTEMS INC","NVLS","June 19, 2000","June 4, 2012"
"12079","GENERAL MOTORS CORP","GM","Dec. 31, 1925","June 2, 2009"
"12140","GOODRICH CORP","GR","March 1, 1957","July 30, 2012"
"12431","INGERSOLL RAND CO LTD","IR","March 1, 1957","June 30, 2009"
"12490","INTERNATIONAL BUSINESS MACHS COR","IBM","March 1, 1957","Dec. 31, 2024"
"12503","NAVISTAR INTERNATIONAL CORP","NAV","Dec. 31, 1925","Dec. 19, 2006"
"12570","I T T INDUSTRIES INC IND","ITT","March 1, 1957","Oct. 31, 2011"
"13100","MAY DEPARTMENT STORES CO","MAY","June 7, 1944","Aug. 29, 2005"
"13119","MAYTAG CORP","MYG","Dec. 14, 1960","March 31, 2006"
"13688","P G & E CORP","PCG","Dec. 31, 1925","Jan. 17, 2019"
"13821","PEOPLES ENERGY CORP","PGL","April 15, 1940","Feb. 21, 2007"
"13856","PEPSICO INC","PEP","March 1, 1957","Dec. 31, 2024"
"13901","ALTRIA GROUP INC","MO","March 1, 1957","Dec. 31, 2024"
"13928","CONOCOPHILLIPS","COP","March 1, 1957","Dec. 31, 2024"
"14008","AMGEN INC","AMGN","Jan. 2, 1992","Dec. 31, 2024"
"14277","SCHLUMBERGER LTD","SLB","March 4, 1965","Dec. 31, 2024"
"14322","SEARS ROEBUCK & CO","S","Dec. 31, 1925","March 24, 2005"
"14323","ANDREW CORP","ANDW","Nov. 23, 1984","Sept. 29, 2006"
"14541","CHEVRONTEXACO CORP","CVX","Dec. 31, 1925","Dec. 31, 2024"
"14593","APPLE COMPUTER INC","AAPL","Nov. 18, 1982","Dec. 31, 2024"
