"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"10078","SUN MICROSYSTEMS INC","JAVA","Aug. 20, 1992","Jan. 28, 2010"
"10104","ORACLE CORP","ORCL","Aug. 3, 1989","Dec. 31, 2024"
"10107","MICROSOFT CORP","MSFT","June 7, 1994","Dec. 31, 2024"
"10137","ALLEGHENY ENERGY INC","AYE","Dec. 11, 2000","Feb. 25, 2011"
"10138","T ROWE PRICE GROUP INC","TROW","Oct. 13, 1999","Dec. 31, 2024"
"10145","HONEYWELL INTERNATIONAL INC","HON","Dec. 31, 1925","Dec. 31, 2024"
"10147","E M C CORP MA","EMC","March 28, 1996","Sept. 7, 2016"
"10225","FORTUNE BRANDS INC","FO","Dec. 31, 1925","April 30, 2014"
"10299","LINEAR TECHNOLOGY CORP","LLTC","April 3, 2000","March 10, 2017"
"10324","GENZYME CORP","GENZ","Dec. 14, 2001","April 1, 2011"
"10516","ARCHER DANIELS MIDLAND CO","ADM","July 30, 1981","Dec. 31, 2024"
"10696","FISERV INC","FISV","April 2, 2001","Dec. 31, 2024"
"11081","DELL INC","DELL","Sept. 6, 1996","Oct. 28, 2013"
"11308","COCA COLA CO","KO","March 1, 1957","Dec. 31, 2024"
"11404","CONSOLIDATED EDISON INC","ED","Dec. 31, 1925","Dec. 31, 2024"
"11552","CELGENE CORP","CELG","Nov. 6, 2006","Nov. 20, 2019"
"11600","DENTSPLY INTERNATIONAL INC NEW","XRAY","Nov. 14, 2008","April 2, 2024"
"11618","FASTENAL CO","FAST","Sept. 15, 2008","Dec. 31, 2024"
"11674","D T E ENERGY CO","DTE","Dec. 31, 1925","Dec. 31, 2024"
"11703","DU PONT E I DE NEMOURS & CO","DD","March 1, 1957","Aug. 31, 2017"
"11754","EASTMAN KODAK CO","EK","Dec. 31, 1925","Dec. 17, 2010"
"11762","EATON CORP","ETN","March 1, 1957","Dec. 31, 2024"
"11850","EXXON MOBIL CORP","XOM","Dec. 31, 1925","Dec. 31, 2024"
"11955","WASTE MANAGEMENT INC DEL","WM","July 17, 1998","Dec. 31, 2024"
"11976","B M C SOFTWARE INC","BMC","Oct. 1, 1998","Sept. 10, 2013"
"12052","GENERAL DYNAMICS CORP","GD","March 1, 1957","Dec. 31, 2024"
