Model,Horizon,IC_Mean,IC_IR,Hit_Rate,MAE,DM_P_Zero,IC_Std,t_stat,p_value,Precision_Top_20%,MSE,RMSE,R2,DM_Stat_Zero
Canonical,1,0.013999671670788846,0.07562552411160588,0.5050967949510439,0.7599737644195557,0.0,0.18511834145444106,3.309426872039868,0.0009522211606910449,0.5120329300591397,1.157841444015503,1.076030410358138,-0.01788020133972168,48.118553760490244
Canonical,2,0.01063239681204157,0.05718186360901183,0.5050353646540822,0.7591842412948608,0.0,0.18594001810714064,2.502319134174746,0.012421093486005974,0.5084157985694852,1.155485987663269,1.0749353411546525,-0.01688551902770996,46.6658665069148
Canonical,3,0.011548727161392398,0.06255755498073726,0.5048418592186527,0.7581871151924133,0.0,0.18460963032188407,2.7375632227013345,0.006246900745487305,0.5082045165393734,1.1518044471740723,1.0732215275394321,-0.016109585762023926,44.862069792567084
Canonical,4,0.010977026538750968,0.060163195423873154,0.5046898192336724,0.7577047944068909,0.0,0.18245417985614534,2.632784340977563,0.008536932271623922,0.509709712914782,1.1509803533554077,1.0728375242111023,-0.015812158584594727,42.41232726702131
Canonical,5,0.010163566904831983,0.05563099485609661,0.5050069531417374,0.757075846195221,0.0,0.18269611887207082,2.4344520116854285,0.015005221539579465,0.509140207801242,1.14967679977417,1.072229826004747,-0.015368103981018066,40.910236138502455
Canonical,6,0.009588485720450467,0.0529959128956174,0.5045869234862616,0.7565510869026184,0.0,0.1809287762688487,2.3191389458425373,0.020492317310246432,0.5098256365875099,1.148620843887329,1.0717373017149907,-0.01499927043914795,38.478692624038345
Canonical,7,0.010161286780806121,0.05609102768688302,0.5045707980333091,0.7550802230834961,0.0,0.18115707883689441,2.454583376576456,0.014193255551040757,0.5104048225631833,1.1446003913879395,1.0698599868150689,-0.013525724411010742,36.22166674327041
Canonical,8,0.011277414062279695,0.06285584136415406,0.5049547373893198,0.7539740800857544,0.0,0.17941711947006453,2.7506164480120328,0.006004322660878198,0.5104154014149974,1.1420267820358276,1.0686565313681602,-0.012653112411499023,32.97309959359068
Canonical,9,0.010544970517744955,0.05874431265639136,0.505207369485575,0.7530494928359985,0.0,0.1795062361301346,2.5706930193369923,0.010224501612469135,0.5109134018720046,1.1404156684875488,1.0679024620664328,-0.012557506561279297,32.1654356551895
Canonical,10,0.009604725630512366,0.05393401816859728,0.5049862204165128,0.7523660063743591,0.0,0.17808288539811845,2.3601911018682467,0.018365351226050354,0.5107034933854628,1.1404774188995361,1.0679313736844405,-0.013045310974121094,31.399654212893086
Canonical,Pooled,0.009390738917538645,0.1558921281756468,0.5048976840010166,0.7563146352767944,0.0,0.06023869756313663,6.821950789261945,1.2006340787501336e-11,0.5096715204853505,1.148193120956421,1.0715377365993326,-0.01488959789276123,147.1626739501953
